id,title,artist,album,track_number,genre
000002,Food,AWOL,AWOL - A Way Of Life,3,Hip-Hop
000005,This World,AWOL,AWOL - A Way Of Life,6,Hip-Hop
000010,Freeway,Kurt Vile,Constant Hitmaker,1,Pop
000140,Queen Of The Wires,Alec K Redfearn And The Eyesores,The Blind Spot,02,Folk
000141,Ohio,Alec K. Redfearn and the Eyesores,Every Man For Himself,4,Folk
000148,Blackout 2,Andy Ortmann and Weasel Walter,Contradiction,02,Revival
000182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Worn Copy,3,Lo-fi
000190,Castle Of Stars,Askew Ed,Blue Piano,02,Folk
000193,Here With You,Askew Ed,Blue Piano,03,Folk
000194,All I want to Do,Askew Ed,Blue Piano,04,Folk
000197,Paino 2,Askew Ed,Blue Piano,05,Folk
000200,Baby Come Home,Askew Ed,Blue Piano,07,Folk
000203,Song For R,Askew Ed,Blue Piano,08,Folk
000204,My Dream,Askew Ed,Blue Piano,09,Folk
000207,Piano 3,Askew Ed,Blue Piano,10,Folk
000210,In the French Court,Askew Ed,Blue Piano,13,Folk
000211,In America,Askew Ed,Blue Piano,14,Folk
000212,When I Arive,Askew Ed,Blue Piano,15,Folk
000213,Boute,Au,Au,01,Pop
000255,We Want to be Old,Bird Names,On Opaque Things,12,Pop
000256,Toggle,Black Elk,Black Elk,01,Metal
000368,Vampires,Blah Blah Blah,2/30th Anniversary Blah Blah Blah,0,
000424,The Ambient Honky,Brian Joseph Davis,The Definitive Host,5,Avant-Garde
000459,Machines and Muscles,CAVE,Butthash,0,Krautrock
000534,I Can See You,Charles Manson,One Mind,1,Folk
000540,The Black Pirate,Charles Manson,One Mind,7,Folk
000546,If You Have No One,Charles Manson,One Mind,13,Folk
000574,Caliente Queen,Clockcleaner,Babylon Rules,04,Punk
000602,Disappearing,Dorothy Bleu,"Clones of Eros, Axa Hour of Dora Bleu",3,Folk
000615,"Immaterial, side A",EKG,Immaterial,1,Electroacoustic
000620,Arabesque,Ed Askew,Viridian City,04,Folk
000621,Blue Eyed Baby,Ed Askew,Rainy Day Song,4,Folk
000625,Climbing To The Top,Ed Askew,Rainy Day Song,7,Folk
000666,Heat,Explode Into Colors,mp3,0,Reggae - Dub
000667,Sharpen The Knife,Explode Into Colors,mp3,0,Reggae - Dub
000676,The Tension,Fanatic,Change Thoughts (radio edit),05,Hip-Hop
000690,Cataclysm,Flying Luttenbachers,Cataclysm,01,Rock
000694,Planet Say (featuring Faust),Food For Animals,mp3,0,Hip-Hop
000695,Elephants,Food For Animals,Cock Rock Disco 2006 Free Compilation,0,Hip-Hop
000704,Mano De Dios,Fosforo,Macondo,01,Latin
000705,Tio Cocodrilo,Fosforo,Macondo,02,Latin
000706,Esto Es Califas,Fosforo,Macondo,03,Latin
000707,Cochabamba,Fosforo,Macondo,05,Latin
000708,Desconocido,Fosforo,Macondo,06,Latin
000709,Cumbia De Obama,Fosforo,Macondo,7,Latin
000714,Circle Moon,Fursaxa,The Cult From Moon Mountain,1,Folk
000715,Kokopelli,Fursaxa,Kobold Moon,01,Folk
000716,Saxalainen,Fursaxa,Kobold Moon,04,Folk
000718,Song Of The Spindle Berry,Fursaxa,Kobold Moon,05,Folk
000777,Relaxing,Glove Compartment,Quickies,1,Rock
000814,Motion Passings,Hall of Fame,Hall of Fame,08,Folk
000821,Sir,Hecuba,"Sir 12"" EP",1,Pop
000822,Tom & Jerry,Hecuba,"Sir 12"" EP",3,Pop
000825,Death March,Here Comes A Big Black Cloud!!,Pompeii,1,Rock
000853,Welsinsni Melodyi,Hutzl Ukranian Ensemble,Black Mirror: Reflections In Global Musics (1915-1955),10,International
000890,Softly Tomorrow,Ilyas Ahmed,Century of Moonlight,01,Free Folk
000892,Phantom Sky,Ilyas Ahmed,The Vertigo of Dawn,04,Free Folk
000897,02,Infinite Body,White Hymn,2,Noise
000993,Or So I've Been Told,Jad Fair and Jason Willett,The Sounds of Megaphone Unlimited,3,Rock
000995,No Good Deed Goes Unpunished,Kevin Shields,The Death of Patience,1,Noise
000997,Nothing's Ever Ending,Kevin Shields,The Death of Patience,2,Noise
000998,Apparently,Kevin Shields,The Death of Patience,3,Noise
001039,13 Monsters,Lightning Bolt,Ride the Skies,03,Other - misc
001040,Dracula Mountain,Lightning Bolt,Wonderful Rainbow,03,Rock
001066,Helicopter de Cristal,Lucky Dragons,Norteñas,01,Electronic
001069,Un Lagrima en la Discoteca,Lucky Dragons,Norteñas,04,Electronic
